"gender_c" "age_c" "occupation_c" "population"
"1017" "Male" "10 to 11" "Klompenmakers" 40
"1018" "Male" "12 to 15" "Klompenmakers" 1160
"1019" "Male" "Older than 16" "Klompenmakers" 3617
"1020" "Female" "Older than 16" "Klompenmakers" 70
"1027" "Male" "10 to 11" "Knoopenmakers" 10
"1028" "Male" "12 to 15" "Knoopenmakers" 140
"1029" "Female" "12 to 15" "Knoopenmakers" 10
"1030" "Male" "Older than 16" "Knoopenmakers" 1880
"1031" "Female" "Older than 16" "Knoopenmakers" 110
"1038" "Male" "Older than 16" "Kolenbranders" 250
"1048" "Male" "Younger than 10" "Kolonisten arbeiders" 530
"1049" "Female" "Younger than 10" "Kolonisten arbeiders" 200
"1050" "Male" "10 to 11" "Kolonisten arbeiders" 140
"1051" "Female" "10 to 11" "Kolonisten arbeiders" 60
"1052" "Male" "12 to 15" "Kolonisten arbeiders" 340
"1053" "Female" "12 to 15" "Kolonisten arbeiders" 260
"1054" "Male" "Older than 16" "Kolonisten arbeiders" 1530
"1055" "Female" "Older than 16" "Kolonisten arbeiders" 1210
"1064" "Male" "Younger than 10" "Kolonisten bedelaars" 630
"1065" "Female" "Younger than 10" "Kolonisten bedelaars" 740
"1066" "Male" "10 to 11" "Kolonisten bedelaars" 250
"1067" "Female" "10 to 11" "Kolonisten bedelaars" 150
"1068" "Male" "12 to 15" "Kolonisten bedelaars" 740
"1069" "Female" "12 to 15" "Kolonisten bedelaars" 680
"1070" "Male" "Older than 16" "Kolonisten bedelaars" 2166
"1071" "Female" "Older than 16" "Kolonisten bedelaars" 9670
"1080" "Male" "Younger than 10" "Kolonisten gewone" 70
"1081" "Female" "Younger than 10" "Kolonisten gewone" 100
"1082" "Male" "10 to 11" "Kolonisten gewone" 30
"1083" "Female" "10 to 11" "Kolonisten gewone" 30
"1084" "Male" "12 to 15" "Kolonisten gewone" 60
"1085" "Female" "12 to 15" "Kolonisten gewone" 50
"1086" "Male" "Older than 16" "Kolonisten gewone" 440
"1087" "Female" "Older than 16" "Kolonisten gewone" 340
"1094" "Female" "Younger than 10" "Kolonisten hulpbehoevende" 30
"1095" "Female" "10 to 11" "Kolonisten hulpbehoevende" 20
"1096" "Male" "12 to 15" "Kolonisten hulpbehoevende" 40
"1097" "Female" "12 to 15" "Kolonisten hulpbehoevende" 80
"1098" "Male" "Older than 16" "Kolonisten hulpbehoevende" 150
"1099" "Female" "Older than 16" "Kolonisten hulpbehoevende" 250
"1101" "Male" "12 to 15" "Koninklijk Huis (personen, verbonden aan het)" 20
"1102" "Male" "Older than 16" "Koninklijk Huis (personen, verbonden aan het)" 690
"1103" "Female" "Older than 16" "Koninklijk Huis (personen, verbonden aan het)" 110
"1113" "Male" "Younger than 10" "Kooplieden van verschillenden aard" 30
"1114" "Female" "Younger than 10" "Kooplieden van verschillenden aard" 10
"1115" "Male" "10 to 11" "Kooplieden van verschillenden aard" 60
"1116" "Male" "12 to 15" "Kooplieden van verschillenden aard" 1480
"1117" "Female" "12 to 15" "Kooplieden van verschillenden aard" 270
"1118" "Male" "Older than 16" "Kooplieden van verschillenden aard" 16564
"1119" "Female" "Older than 16" "Kooplieden van verschillenden aard" 2999
"1131" "Male" "10 to 11" "Koornmolenaars" 130
"1132" "Male" "12 to 15" "Koornmolenaars" 1670
"1133" "Male" "Older than 16" "Koornmolenaars" 4668
"1134" "Female" "Older than 16" "Koornmolenaars" 990
"1140" "Male" "Older than 16" "Koornverschieters" 960
"1141" "Female" "Older than 16" "Koornverschieters" 20
"1146" "Male" "Younger than 10" "Koper-, klok- en geelgieters" 10
"1147" "Male" "12 to 15" "Koper-, klok- en geelgieters" 330
"1148" "Male" "Older than 16" "Koper-, klok- en geelgieters" 2500
"1149" "Female" "Older than 16" "Koper-, klok- en geelgieters" 30
"1158" "Male" "Younger than 10" "Koper- en blikslagers, draadvlechters, ketellappers" 10
"1159" "Male" "10 to 11" "Koper- en blikslagers, draadvlechters, ketellappers" 280
"1160" "Male" "12 to 15" "Koper- en blikslagers, draadvlechters, ketellappers" 3190
"1161" "Male" "Older than 16" "Koper- en blikslagers, draadvlechters, ketellappers" 3074
"1162" "Female" "Older than 16" "Koper- en blikslagers, draadvlechters, ketellappers" 310
"1170" "Male" "Older than 16" "Kostschoolhouders en onderwijzers" 1720
"1171" "Female" "Older than 16" "Kostschoolhouders en onderwijzers" 1070
"1182" "Male" "Younger than 10" "Kostschoolleerlingen" 1650
"1183" "Female" "Younger than 10" "Kostschoolleerlingen" 750
"1184" "Male" "10 to 11" "Kostschoolleerlingen" 3730
"1185" "Female" "10 to 11" "Kostschoolleerlingen" 1340
"1186" "Male" "12 to 15" "Kostschoolleerlingen" 9820
"1187" "Female" "12 to 15" "Kostschoolleerlingen" 4800
"1188" "Male" "Older than 16" "Kostschoolleerlingen" 3040
"1189" "Female" "Older than 16" "Kostschoolleerlingen" 3620
"1198" "Male" "Older than 16" "Kraankinderen" 120
"1205" "Male" "Younger than 10" "Kramers" 40
"1206" "Male" "10 to 11" "Kramers" 10
"1207" "Female" "10 to 11" "Kramers" 50
"1208" "Male" "12 to 15" "Kramers" 740
"1209" "Female" "12 to 15" "Kramers" 310
"1210" "Male" "Older than 16" "Kramers" 217
"1211" "Female" "Older than 16" "Kramers" 1244
"1221" "Male" "Older than 16" "Krammers" 140
"1222" "Female" "Older than 16" "Krammers" 40
"1228" "Male" "Younger than 10" "Krib- en dijkwerkers, heibazen" 20
"1229" "Male" "10 to 11" "Krib- en dijkwerkers, heibazen" 10
"1230" "Male" "12 to 15" "Krib- en dijkwerkers, heibazen" 830
"1231" "Male" "Older than 16" "Krib- en dijkwerkers, heibazen" 152
"1239" "Male" "Younger than 10" "Krijgslieden beneden den rang van 2den luitenant" 20
"1240" "Male" "10 to 11" "Krijgslieden beneden den rang van 2den luitenant" 260
"1241" "Male" "12 to 15" "Krijgslieden beneden den rang van 2den luitenant" 2110
"1242" "Male" "Older than 16" "Krijgslieden beneden den rang van 2den luitenant" 17864
"1248" "Male" "Older than 16" "Krijgslieden van en boven den rang van 2den luitenant" 1564
"1253" "Male" "12 to 15" "Kroeghouders, tappers enz." 30
"1254" "Female" "12 to 15" "Kroeghouders, tappers enz." 20
"1255" "Male" "Older than 16" "Kroeghouders, tappers enz." 4988
"1256" "Female" "Older than 16" "Kroeghouders, tappers enz." 2691
"1262" "Male" "12 to 15" "Kruidfabrijkanten en vuurwerkmakers" 10
"1263" "Male" "Older than 16" "Kruidfabrijkanten en vuurwerkmakers" 140
"1270" "Male" "10 to 11" "Kruijers, sjouwers, schoenpoetsers" 110
"1271" "Male" "12 to 15" "Kruijers, sjouwers, schoenpoetsers" 1000
"1272" "Female" "12 to 15" "Kruijers, sjouwers, schoenpoetsers" 10
"1273" "Male" "Older than 16" "Kruijers, sjouwers, schoenpoetsers" 10151
"1274" "Female" "Older than 16" "Kruijers, sjouwers, schoenpoetsers" 650
"1285" "Male" "Younger than 10" "Kuipers, hoepelmakers" 20
"1286" "Male" "10 to 11" "Kuipers, hoepelmakers" 230
"1287" "Male" "12 to 15" "Kuipers, hoepelmakers" 3570
"1288" "Male" "Older than 16" "Kuipers, hoepelmakers" 4947
"1289" "Female" "Older than 16" "Kuipers, hoepelmakers" 500
"1300" "Male" "Younger than 10" "Kunstenaars, goochelaars enz." 10
"1301" "Female" "Younger than 10" "Kunstenaars, goochelaars enz." 30
"1302" "Male" "10 to 11" "Kunstenaars, goochelaars enz." 10
"1303" "Male" "12 to 15" "Kunstenaars, goochelaars enz." 10
"1304" "Female" "12 to 15" "Kunstenaars, goochelaars enz." 10
"1305" "Male" "Older than 16" "Kunstenaars, goochelaars enz." 560
"1306" "Female" "Older than 16" "Kunstenaars, goochelaars enz." 90
"1312" "Male" "Older than 16" "Kunstkoopers, muzijk- en teekenhandelaren" 150
"1313" "Female" "Older than 16" "Kunstkoopers, muzijk- en teekenhandelaren" 10
"1318" "Male" "12 to 15" "Kunstlakkers" 140
"1319" "Male" "Older than 16" "Kunstlakkers" 1370
"1320" "Female" "Older than 16" "Kunstlakkers" 20
"1328" "Male" "Younger than 10" "Kunstoefenaren muzijkanten, muzijkmeesters, organisten" 30
"1329" "Male" "10 to 11" "Kunstoefenaren muzijkanten, muzijkmeesters, organisten" 30
"1330" "Female" "10 to 11" "Kunstoefenaren muzijkanten, muzijkmeesters, organisten" 10
"1331" "Male" "12 to 15" "Kunstoefenaren muzijkanten, muzijkmeesters, organisten" 280
"1332" "Female" "12 to 15" "Kunstoefenaren muzijkanten, muzijkmeesters, organisten" 60
"1333" "Male" "Older than 16" "Kunstoefenaren muzijkanten, muzijkmeesters, organisten" 1194
"1334" "Female" "Older than 16" "Kunstoefenaren muzijkanten, muzijkmeesters, organisten" 780
"1345" "Male" "10 to 11" "Kunstoefenaren schilders" 30
"1346" "Male" "12 to 15" "Kunstoefenaren schilders" 100
"1347" "Male" "Older than 16" "Kunstoefenaren schilders" 5180
"1348" "Female" "Older than 16" "Kunstoefenaren schilders" 120
"1353" "Male" "12 to 15" "Kunstoefenaren teekenaars, teekenmeesters, daguerrcotypeurs, decorateurs" 10
"1354" "Male" "Older than 16" "Kunstoefenaren teekenaars, teekenmeesters, daguerrcotypeurs, decorateurs" 1030
"1355" "Female" "Older than 16" "Kunstoefenaren teekenaars, teekenmeesters, daguerrcotypeurs, decorateurs" 10
"1364" "Male" "10 to 11" "Kunstoefenaren tooneelspelers, dansmeesters, zangers" 10
"1365" "Female" "10 to 11" "Kunstoefenaren tooneelspelers, dansmeesters, zangers" 10
"1366" "Male" "12 to 15" "Kunstoefenaren tooneelspelers, dansmeesters, zangers" 20
"1367" "Female" "12 to 15" "Kunstoefenaren tooneelspelers, dansmeesters, zangers" 10
"1368" "Male" "Older than 16" "Kunstoefenaren tooneelspelers, dansmeesters, zangers" 2170
"1369" "Female" "Older than 16" "Kunstoefenaren tooneelspelers, dansmeesters, zangers" 880
"1376" "Male" "Older than 16" "Kunstwerkers" 390
"1377" "Female" "Older than 16" "Kunstwerkers" 60
"1381" "Male" "12 to 15" "Kurkensnijders" 70
"1382" "Male" "Older than 16" "Kurkensnijders" 790
"1383" "Female" "Older than 16" "Kurkensnijders" 10
"1387" "Male" "10 to 11" "Kweekelingen aan 's Rijks kweekschool voor militaire geneeskundigen" 10
"1388" "Male" "Older than 16" "Kweekelingen aan 's Rijks kweekschool voor militaire geneeskundigen" 690
"1391" "Male" "Older than 16" "Kweekelingen aan 's Rijks veeartsenijschool" 110
"1401" "Male" "Younger than 10" "Landbouwers" 1950
"1402" "Female" "Younger than 10" "Landbouwers" 1180
"1403" "Male" "10 to 11" "Landbouwers" 8170
"1404" "Female" "10 to 11" "Landbouwers" 4160
"1405" "Male" "12 to 15" "Landbouwers" 10485
"1406" "Female" "12 to 15" "Landbouwers" 5835
"1407" "Male" "Older than 16" "Landbouwers" 194386
"1408" "Female" "Older than 16" "Landbouwers" 85912
"1419" "Male" "12 to 15" "Landhuishoudkundige scholen leerlingen" 90
"1420" "Male" "Older than 16" "Landhuishoudkundige scholen leerlingen" 980
"1423" "Male" "Older than 16" "Landhuishoudkundige scholen onderwijzers" 50
"1426" "Male" "Older than 16" "Landmeters en teekenaars bij het kadaster" 1890
"1429" "Male" "Older than 16" "Lantaarnopstekers" 1030
"1434" "Male" "Younger than 10" "Latijnsche scholen leerlingen" 30
"1435" "Male" "10 to 11" "Latijnsche scholen leerlingen" 100
"1436" "Male" "12 to 15" "Latijnsche scholen leerlingen" 1450
"1437" "Male" "Older than 16" "Latijnsche scholen leerlingen" 1810
"1443" "Male" "12 to 15" "Latijnsche scholen onderwijzers" 10
"1444" "Male" "Older than 16" "Latijnsche scholen onderwijzers" 1480
"1450" "Male" "10 to 11" "Leerbereiders en looijers" 10
"1451" "Male" "12 to 15" "Leerbereiders en looijers" 550
"1452" "Male" "Older than 16" "Leerbereiders en looijers" 2123
"1453" "Female" "Older than 16" "Leerbereiders en looijers" 400
"1459" "Male" "12 to 15" "Lettergieters" 80
"1460" "Male" "Older than 16" "Lettergieters" 920
"1465" "Male" "Older than 16" "Liefdadige gestichten dienstdoend personeel" 3720
"1466" "Female" "Older than 16" "Liefdadige gestichten dienstdoend personeel" 6230
"1471" "Male" "Older than 16" "Liefdadige gestichten hoofden" 3510
"1472" "Female" "Older than 16" "Liefdadige gestichten hoofden" 3410
"1476" "Male" "Older than 16" "Lijmzieders" 150
"1478" "Male" "12 to 15" "Linieerders" 10
"1479" "Male" "Older than 16" "Linieerders" 190
"1484" "Male" "10 to 11" "Loodgieters en pompenmakers" 10
"1485" "Male" "12 to 15" "Loodgieters en pompenmakers" 470
"1486" "Male" "Older than 16" "Loodgieters en pompenmakers" 9010
"1487" "Female" "Older than 16" "Loodgieters en pompenmakers" 130
"1493" "Male" "Older than 16" "Loodswezen en strandvonderij (personen behoorende tot)" 500
"1496" "Male" "Older than 16" "Loodwitmakers" 700
"1497" "Female" "Older than 16" "Loodwitmakers" 20
"1501" "Male" "Older than 16" "Magazijn- en pakhuismeesters" 610
"1504" "Male" "Older than 16" "Makelaars en kargadoors" 6130
"1505" "Female" "Older than 16" "Makelaars en kargadoors" 10
"1514" "Male" "Younger than 10" "Mandenmakers" 80
"1515" "Male" "10 to 11" "Mandenmakers" 150
"1516" "Male" "12 to 15" "Mandenmakers" 1340
"1517" "Female" "12 to 15" "Mandenmakers" 30
"1518" "Male" "Older than 16" "Mandenmakers" 1504
"1519" "Female" "Older than 16" "Mandenmakers" 320
"1529" "Male" "12 to 15" "Manufakturen/* fabrijkanten" 10
"1530" "Male" "Older than 16" "Manufakturen/* fabrijkanten" 4700
"1531" "Female" "Older than 16" "Manufakturen/* fabrijkanten" 220
"1537" "Male" "12 to 15" "Manufakturen/* kooplieden" 30
"1538" "Female" "12 to 15" "Manufakturen/* kooplieden" 10
"1539" "Male" "Older than 16" "Manufakturen/* kooplieden" 4040
"1540" "Female" "Older than 16" "Manufakturen/* kooplieden" 760
"1552" "Male" "Younger than 10" "Manufakturen/* werklieden" 220
"1553" "Female" "Younger than 10" "Manufakturen/* werklieden" 70
"1554" "Male" "10 to 11" "Manufakturen/* werklieden" 370
"1555" "Female" "10 to 11" "Manufakturen/* werklieden" 200
"1556" "Male" "12 to 15" "Manufakturen/* werklieden" 1540
"1557" "Female" "12 to 15" "Manufakturen/* werklieden" 1280
"1558" "Male" "Older than 16" "Manufakturen/* werklieden" 1085
"1559" "Female" "Older than 16" "Manufakturen/* werklieden" 8760
"1571" "Male" "10 to 11" "Mariniers en zeelieden beneden den rang van 2den luitenant" 10
"1572" "Male" "12 to 15" "Mariniers en zeelieden beneden den rang van 2den luitenant" 440
"1573" "Male" "Older than 16" "Mariniers en zeelieden beneden den rang van 2den luitenant" 2278
"1577" "Male" "Older than 16" "Mariniers en zeelieden van en boven den rang van 2den luitenant" 2650
"1584" "Male" "10 to 11" "Mattenmakers" 60
"1585" "Female" "10 to 11" "Mattenmakers" 10
"1586" "Male" "12 to 15" "Mattenmakers" 520
"1587" "Female" "12 to 15" "Mattenmakers" 90
"1588" "Male" "Older than 16" "Mattenmakers" 4150
"1589" "Female" "Older than 16" "Mattenmakers" 690
"1599" "Male" "12 to 15" "Meekrapbereiders en fabrijkanten" 50
"1600" "Male" "Older than 16" "Meekrapbereiders en fabrijkanten" 1960
"1601" "Female" "Older than 16" "Meekrapbereiders en fabrijkanten" 30
"1606" "Male" "Older than 16" "Meesters (keur-, markt-, waag-), afslagers" 3580
"1607" "Female" "Older than 16" "Meesters (keur-, markt-, waag-), afslagers" 60
"1614" "Male" "12 to 15" "Melk-, boter-, kaasverkoopers" 230
"1615" "Female" "12 to 15" "Melk-, boter-, kaasverkoopers" 10
"1616" "Male" "Older than 16" "Melk-, boter-, kaasverkoopers" 1676
"1617" "Female" "Older than 16" "Melk-, boter-, kaasverkoopers" 3770
"1622" "Male" "12 to 15" "Messenmakers en slijpers" 10
"1623" "Male" "Older than 16" "Messenmakers en slijpers" 1030
"1628" "Male" "12 to 15" "Meters (kolen-, koorn-, hooi-, hout-, scheeps- enz.), wijnstekers" 10
"1629" "Male" "Older than 16" "Meters (kolen-, koorn-, hooi-, hout-, scheeps- enz.), wijnstekers" 6260
"1630" "Female" "Older than 16" "Meters (kolen-, koorn-, hooi-, hout-, scheeps- enz.), wijnstekers" 2100
"1639" "Male" "Younger than 10" "Metselaars" 20
"1640" "Male" "10 to 11" "Metselaars" 140
"1641" "Male" "12 to 15" "Metselaars" 2270
"1642" "Male" "Older than 16" "Metselaars" 10933
"1643" "Female" "Older than 16" "Metselaars" 320
"1652" "Male" "12 to 15" "Mijnwerkers" 110
"1653" "Male" "Older than 16" "Mijnwerkers" 3080
"1654" "Female" "Older than 16" "Mijnwerkers" 30
"1657" "Female" "10 to 11" "Modemaaksters" 30
"1658" "Female" "12 to 15" "Modemaaksters" 400
"1659" "Male" "Older than 16" "Modemaaksters" 40
"1660" "Female" "Older than 16" "Modemaaksters" 9190
"1668" "Male" "10 to 11" "Molenmakers" 10
"1669" "Male" "12 to 15" "Molenmakers" 230
"1670" "Male" "Older than 16" "Molenmakers" 4480
"1671" "Female" "Older than 16" "Molenmakers" 10
"1676" "Male" "Older than 16" "Moutmolenaars" 450
"1680" "Male" "10 to 11" "Muzijkinstrument-, orgel-, forte pianomakers, stemmers en verkoopers" 10
"1681" "Male" "12 to 15" "Muzijkinstrument-, orgel-, forte pianomakers, stemmers en verkoopers" 180
"1682" "Male" "Older than 16" "Muzijkinstrument-, orgel-, forte pianomakers, stemmers en verkoopers" 2720
"1683" "Female" "Older than 16" "Muzijkinstrument-, orgel-, forte pianomakers, stemmers en verkoopers" 50
"1692" "Female" "Younger than 10" "Naaisters, breisters, mangelhoudsters, plooisters, strijksters, waschvrouwen, werksters, nettenbreijers" 1360
"1693" "Female" "10 to 11" "Naaisters, breisters, mangelhoudsters, plooisters, strijksters, waschvrouwen, werksters, nettenbreijers" 3910
"1694" "Female" "12 to 15" "Naaisters, breisters, mangelhoudsters, plooisters, strijksters, waschvrouwen, werksters, nettenbreijers" 3127
"1695" "Male" "Older than 16" "Naaisters, breisters, mangelhoudsters, plooisters, strijksters, waschvrouwen, werksters, nettenbreijers" 480
"1696" "Female" "Older than 16" "Naaisters, breisters, mangelhoudsters, plooisters, strijksters, waschvrouwen, werksters, nettenbreijers" 46182
"1703" "Male" "Older than 16" "Nachtwerkers" 160
"1704" "Female" "Older than 16" "Nachtwerkers" 20
"1708" "Male" "Older than 16" "Notarissen" 6760
"1711" "Male" "Older than 16" "Notarissen (kandidaat)" 2010
"1717" "Male" "10 to 11" "Olieslagers en molenaars" 20
"1718" "Male" "12 to 15" "Olieslagers en molenaars" 520
"1719" "Male" "Older than 16" "Olieslagers en molenaars" 1414
"1720" "Female" "Older than 16" "Olieslagers en molenaars" 170
"1727" "Male" "Older than 16" "Omroepers, aanplakkers" 1380
"1728" "Female" "Older than 16" "Omroepers, aanplakkers" 120
"1732" "Male" "Older than 16" "Ondernemers en direkteurs van begrafenis- en ziekenfondsen/?" 530
"1735" "Male" "Older than 16" "Ondernemers en direkteurs van naamlooze en verdere handel-maatschappijen" 520
"1738" "Male" "Older than 16" "Ondernemers en direkteurs van openbare werken" 150
"1742" "Male" "Older than 16" "Ondernemers en direkteurs van publieke wagens en verdere middelen van vervoer te water en te lande, postmeesters" 990
"1743" "Female" "Older than 16" "Ondernemers en direkteurs van publieke wagens en verdere middelen van vervoer te water en te lande, postmeesters" 90
"1747" "Male" "Older than 16" "Ondernemers en direkteurs van verzekering- en brandwaarborgmaatschappijen/?" 1570
"1754" "Male" "Younger than 10" "Onderwijzers, onderwijzeressen, ondermeesters, kweekelingen, gouverneurs, gouvernanten" 10
"1755" "Male" "10 to 11" "Onderwijzers, onderwijzeressen, ondermeesters, kweekelingen, gouverneurs, gouvernanten" 90
"1756" "Male" "12 to 15" "Onderwijzers, onderwijzeressen, ondermeesters, kweekelingen, gouverneurs, gouvernanten" 1930
"1757" "Female" "12 to 15" "Onderwijzers, onderwijzeressen, ondermeesters, kweekelingen, gouverneurs, gouvernanten" 110
"1758" "Male" "Older than 16" "Onderwijzers, onderwijzeressen, ondermeesters, kweekelingen, gouverneurs, gouvernanten" 5648
"1759" "Female" "Older than 16" "Onderwijzers, onderwijzeressen, ondermeesters, kweekelingen, gouverneurs, gouvernanten" 1609
"1767" "Male" "Older than 16" "Opzigters, conducteurs enz." 5290
"1768" "Female" "Older than 16" "Opzigters, conducteurs enz." 50
"1774" "Female" "Younger than 10" "Orgeldraaijers, straatmuzijkanten" 10
"1775" "Male" "10 to 11" "Orgeldraaijers, straatmuzijkanten" 10
"1776" "Male" "12 to 15" "Orgeldraaijers, straatmuzijkanten" 30
"1777" "Female" "12 to 15" "Orgeldraaijers, straatmuzijkanten" 30
"1778" "Male" "Older than 16" "Orgeldraaijers, straatmuzijkanten" 980
"1779" "Female" "Older than 16" "Orgeldraaijers, straatmuzijkanten" 290
"1788" "Male" "12 to 15" "Oudijzer-, oude kleederen-, beenenverkoopers" 10
"1789" "Male" "Older than 16" "Oudijzer-, oude kleederen-, beenenverkoopers" 1540
"1790" "Female" "Older than 16" "Oudijzer-, oude kleederen-, beenenverkoopers" 430
"1794" "Male" "Older than 16" "Paarden- en beestensnijders" 240
"1803" "Male" "Younger than 10" "Paarden- en veehouders en verkoopers, koemelkers" 20
"1804" "Male" "10 to 11" "Paarden- en veehouders en verkoopers, koemelkers" 70
"1805" "Female" "10 to 11" "Paarden- en veehouders en verkoopers, koemelkers" 10
"1806" "Male" "12 to 15" "Paarden- en veehouders en verkoopers, koemelkers" 860
"1807" "Female" "12 to 15" "Paarden- en veehouders en verkoopers, koemelkers" 340
"1808" "Male" "Older than 16" "Paarden- en veehouders en verkoopers, koemelkers" 5802
"1809" "Female" "Older than 16" "Paarden- en veehouders en verkoopers, koemelkers" 1194
"1820" "Male" "Younger than 10" "Pannen-, potten-, pijpen-, steen- en tegelbakkers" 90
"1821" "Female" "Younger than 10" "Pannen-, potten-, pijpen-, steen- en tegelbakkers" 10
"1822" "Male" "10 to 11" "Pannen-, potten-, pijpen-, steen- en tegelbakkers" 280
"1823" "Female" "10 to 11" "Pannen-, potten-, pijpen-, steen- en tegelbakkers" 20
"1824" "Male" "12 to 15" "Pannen-, potten-, pijpen-, steen- en tegelbakkers" 2560
"1825" "Female" "12 to 15" "Pannen-, potten-, pijpen-, steen- en tegelbakkers" 490
"1826" "Male" "Older than 16" "Pannen-, potten-, pijpen-, steen- en tegelbakkers" 2817
"1827" "Female" "Older than 16" "Pannen-, potten-, pijpen-, steen- en tegelbakkers" 7440
"1839" "Male" "12 to 15" "Papier- en gekleurd papierfabrijkanten" 40
"1840" "Male" "Older than 16" "Papier- en gekleurd papierfabrijkanten" 3720
"1841" "Female" "Older than 16" "Papier- en gekleurd papierfabrijkanten" 120
"1846" "Male" "Older than 16" "Papier- en gekleurd papierhandelaars" 230
"1847" "Female" "Older than 16" "Papier- en gekleurd papierhandelaars" 30
"1857" "Male" "Younger than 10" "Papier- en gekleurd papierwerklieden" 10
"1858" "Male" "10 to 11" "Papier- en gekleurd papierwerklieden" 70
"1859" "Female" "10 to 11" "Papier- en gekleurd papierwerklieden" 10
"1860" "Male" "12 to 15" "Papier- en gekleurd papierwerklieden" 780
"1861" "Female" "12 to 15" "Papier- en gekleurd papierwerklieden" 150
"1862" "Male" "Older than 16" "Papier- en gekleurd papierwerklieden" 7350
"1863" "Female" "Older than 16" "Papier- en gekleurd papierwerklieden" 1480
"1869" "Male" "10 to 11" "Parapluiemakers" 20
"1870" "Male" "12 to 15" "Parapluiemakers" 20
"1871" "Male" "Older than 16" "Parapluiemakers" 1360
"1872" "Female" "Older than 16" "Parapluiemakers" 60
"1879" "Male" "12 to 15" "Pennenbereiders" 30
"1880" "Male" "Older than 16" "Pennenbereiders" 150
"1885" "Male" "Younger than 10" "Pijpenmakers" 10
"1886" "Male" "12 to 15" "Pijpenmakers" 40
"1887" "Male" "Older than 16" "Pijpenmakers" 350
"1888" "Female" "Older than 16" "Pijpenmakers" 250
"1894" "Male" "Older than 16" "Pik- en teerstokers" 60
"1897" "Male" "Older than 16" "Pikeurs" 240
"1900" "Male" "12 to 15" "Plaat- en steendrukkers, plaatsnijders" 300
"1901" "Male" "Older than 16" "Plaat- en steendrukkers, plaatsnijders" 2940
"1902" "Female" "Older than 16" "Plaat- en steendrukkers, plaatsnijders" 30
"1907" "Male" "10 to 11" "Pleistergieters, boetseerders" 10
"1908" "Male" "12 to 15" "Pleistergieters, boetseerders" 30
"1909" "Male" "Older than 16" "Pleistergieters, boetseerders" 700
"1910" "Female" "Older than 16" "Pleistergieters, boetseerders" 10
"1916" "Male" "Older than 16" "Politie (dir, commiss, agenten van), marech, veld- en boschw, nacht- en torenw, geregtsdienaars, cipiers en bew van gevangenissen, scherpregters, enz" 3336
"1917" "Female" "Older than 16" "Politie (dir, commiss, agenten van), marech, veld- en boschw, nacht- en torenw, geregtsdienaars, cipiers en bew van gevangenissen, scherpregters, enz" 40
"1921" "Male" "Older than 16" "Prokureurs" 1640
"1926" "Male" "Older than 16" "Publieke vrouwen, publiekhuishouders" 80
"1927" "Female" "Older than 16" "Publieke vrouwen, publiekhuishouders" 4700
"1930" "Male" "Older than 16" "Reeders" 880
"1931" "Female" "Older than 16" "Reeders" 80
"1935" "Male" "Older than 16" "Regterlijke magt (ambtenaren der)" 7740
"1939" "Female" "12 to 15" "Renteniers, partikulieren" 50
"1940" "Male" "Older than 16" "Renteniers, partikulieren" 3071
"1941" "Female" "Older than 16" "Renteniers, partikulieren" 3754
"1947" "Male" "Older than 16" "Rentmeesters" 960
"1948" "Female" "Older than 16" "Rentmeesters" 130
"1956" "Male" "Younger than 10" "Rijtuig-, wagen-, koffer-, zadelmakers" 30
"1957" "Male" "10 to 11" "Rijtuig-, wagen-, koffer-, zadelmakers" 160
"1958" "Male" "12 to 15" "Rijtuig-, wagen-, koffer-, zadelmakers" 3750
"1959" "Male" "Older than 16" "Rijtuig-, wagen-, koffer-, zadelmakers" 5297
"1960" "Female" "Older than 16" "Rijtuig-, wagen-, koffer-, zadelmakers" 700
"1970" "Male" "10 to 11" "Rijtuigschilders" 20
"1971" "Male" "12 to 15" "Rijtuigschilders" 80
"1972" "Male" "Older than 16" "Rijtuigschilders" 2100
"1973" "Female" "Older than 16" "Rijtuigschilders" 20
"1980" "Male" "12 to 15" "Schaarslijpers" 20
"1981" "Male" "Older than 16" "Schaarslijpers" 1900
"1982" "Female" "Older than 16" "Schaarslijpers" 10
"1999" "Male" "Younger than 10" "Scheep-, blok-, mast- en zeilmakers, refactiemeesters, scheepsloopers, takelaars" 40
"2000" "Male" "10 to 11" "Scheep-, blok-, mast- en zeilmakers, refactiemeesters, scheepsloopers, takelaars" 160
"2001" "Male" "12 to 15" "Scheep-, blok-, mast- en zeilmakers, refactiemeesters, scheepsloopers, takelaars" 3660
"2002" "Male" "Older than 16" "Scheep-, blok-, mast- en zeilmakers, refactiemeesters, scheepsloopers, takelaars" 5931
"2003" "Female" "Older than 16" "Scheep-, blok-, mast- en zeilmakers, refactiemeesters, scheepsloopers, takelaars" 320
"2005" "Male" "Older than 16" "Scheepswakers" 290
"2006" "Female" "Older than 16" "Scheepswakers" 10
"2009" "Male" "Older than 16" "Scheepzeilnaaldenmakers" 10
"2014" "Male" "10 to 11" "Scheikundige voorwerpen en verfwaren (fabrijkanten en werklieden in)" 10
"2015" "Male" "12 to 15" "Scheikundige voorwerpen en verfwaren (fabrijkanten en werklieden in)" 90
"2016" "Male" "Older than 16" "Scheikundige voorwerpen en verfwaren (fabrijkanten en werklieden in)" 1600
