"occupation_label","province_label","sex_label","age_label","population"
"Bedrijfshoofden Nijverheid","OVERIJSSEL","Mannen","25-39 jaar",4293
"Bedrijfshoofden Landbouw","OVERIJSSEL","Mannen","25-39 jaar",4951
"Bedrijfshoofden Winkels","OVERIJSSEL","Mannen","25-39 jaar",1539
"Bedrijfshoofden Overige","OVERIJSSEL","Mannen","25-39 jaar",2508
"Medew.gezinsleden","OVERIJSSEL","Mannen","25-39 jaar",4353
"Vrije beroepen","OVERIJSSEL","Mannen","25-39 jaar",555
"Employé's","OVERIJSSEL","Mannen","25-39 jaar",11900
"Landbouwarbeiders","OVERIJSSEL","Mannen","25-39 jaar",4148
"Overige handarbeiders ","OVERIJSSEL","Mannen","25-39 jaar",29915
"Totaal","OVERIJSSEL","Mannen","25-39 jaar",64162
"Bedrijfshoofden Nijverheid","GELDERLAND","Mannen","25-39 jaar",7403
"Bedrijfshoofden Landbouw","GELDERLAND","Mannen","25-39 jaar",8425
"Bedrijfshoofden Winkels","GELDERLAND","Mannen","25-39 jaar",2407
"Bedrijfshoofden Overige","GELDERLAND","Mannen","25-39 jaar",4376
"Medew.gezinsleden","GELDERLAND","Mannen","25-39 jaar",7107
"Vrije beroepen","GELDERLAND","Mannen","25-39 jaar",1064
"Employé's","GELDERLAND","Mannen","25-39 jaar",18654
"Landbouwarbeiders","GELDERLAND","Mannen","25-39 jaar",6910
"Overige handarbeiders ","GELDERLAND","Mannen","25-39 jaar",43783
"Totaal","GELDERLAND","Mannen","25-39 jaar",100129
"Bedrijfshoofden Nijverheid","UTRECHT","Mannen","25-39 jaar",3471
"Bedrijfshoofden Landbouw","UTRECHT","Mannen","25-39 jaar",2014
"Bedrijfshoofden Winkels","UTRECHT","Mannen","25-39 jaar",1631
"Bedrijfshoofden Overige","UTRECHT","Mannen","25-39 jaar",2849
"Medew.gezinsleden","UTRECHT","Mannen","25-39 jaar",1759
"Vrije beroepen","UTRECHT","Mannen","25-39 jaar",934
"Employé's","UTRECHT","Mannen","25-39 jaar",13026
"Landbouwarbeiders","UTRECHT","Mannen","25-39 jaar",2035
"Overige handarbeiders ","UTRECHT","Mannen","25-39 jaar",23261
"Totaal","UTRECHT","Mannen","25-39 jaar",50980
"Bedrijfshoofden Nijverheid","NOORDHOLLAND","Mannen","25-39 jaar",11699
"Bedrijfshoofden Landbouw","NOORDHOLLAND","Mannen","25-39 jaar",6489
"Bedrijfshoofden Winkels","NOORDHOLLAND","Mannen","25-39 jaar",5048
"Bedrijfshoofden Nijverheid","GRONINGEN","Mannen","25-39 jaar",3457
"Bedrijfshoofden Overige","NOORDHOLLAND","Mannen","25-39 jaar",10544
"Medew.gezinsleden","NOORDHOLLAND","Mannen","25-39 jaar",4385
"Vrije beroepen","NOORDHOLLAND","Mannen","25-39 jaar",3951
"Employé's","NOORDHOLLAND","Mannen","25-39 jaar",47960
"Landbouwarbeiders","NOORDHOLLAND","Mannen","25-39 jaar",7185
"Overige handarbeiders ","NOORDHOLLAND","Mannen","25-39 jaar",77401
"Totaal","NOORDHOLLAND","Mannen","25-39 jaar",174662
"Bedrijfshoofden Nijverheid","ZUIDHOLLAND","Mannen","25-39 jaar",12816
"Bedrijfshoofden Landbouw","ZUIDHOLLAND","Mannen","25-39 jaar",8317
"Bedrijfshoofden Winkels","ZUIDHOLLAND","Mannen","25-39 jaar",5797
"Bedrijfshoofden Landbouw","GRONINGEN","Mannen","25-39 jaar",3231
"Bedrijfshoofden Overige","ZUIDHOLLAND","Mannen","25-39 jaar",12412
"Medew.gezinsleden","ZUIDHOLLAND","Mannen","25-39 jaar",5355
"Vrije beroepen","ZUIDHOLLAND","Mannen","25-39 jaar",3543
"Employé's","ZUIDHOLLAND","Mannen","25-39 jaar",60206
"Landbouwarbeiders","ZUIDHOLLAND","Mannen","25-39 jaar",12718
"Overige handarbeiders ","ZUIDHOLLAND","Mannen","25-39 jaar",105051
"Totaal","ZUIDHOLLAND","Mannen","25-39 jaar",226215
"Bedrijfshoofden Nijverheid","ZEELAND","Mannen","25-39 jaar",1810
"Bedrijfshoofden Landbouw","ZEELAND","Mannen","25-39 jaar",2208
"Bedrijfshoofden Winkels","ZEELAND","Mannen","25-39 jaar",539
"Bedrijfshoofden Winkels","GRONINGEN","Mannen","25-39 jaar",1371
"Bedrijfshoofden Overige","ZEELAND","Mannen","25-39 jaar",1531
"Medew.gezinsleden","ZEELAND","Mannen","25-39 jaar",1770
"Vrije beroepen","ZEELAND","Mannen","25-39 jaar",183
"Employé's","ZEELAND","Mannen","25-39 jaar",5072
"Landbouwarbeiders","ZEELAND","Mannen","25-39 jaar",4676
"Overige handarbeiders ","ZEELAND","Mannen","25-39 jaar",8933
"Totaal","ZEELAND","Mannen","25-39 jaar",26722
"Bedrijfshoofden Nijverheid","NOORDBRABANT","Mannen","25-39 jaar",7683
"Bedrijfshoofden Landbouw","NOORDBRABANT","Mannen","25-39 jaar",8264
"Bedrijfshoofden Winkels","NOORDBRABANT","Mannen","25-39 jaar",2195
"Bedrijfshoofden Overige","GRONINGEN","Mannen","40-49 jaar",2238
"Bedrijfshoofden Overige","NOORDBRABANT","Mannen","40-49 jaar",3474
"Medew.gezinsleden","NOORDBRABANT","Mannen","40-49 jaar",732
"Vrije beroepen","NOORDBRABANT","Mannen","40-49 jaar",549
"Employé's","NOORDBRABANT","Mannen","40-49 jaar",10285
"Landbouwarbeiders","NOORDBRABANT","Mannen","40-49 jaar",2704
"Overige handarbeiders ","NOORDBRABANT","Mannen","40-49 jaar",25468
"Totaal","NOORDBRABANT","Mannen","40-49 jaar",58963
"Bedrijfshoofden Nijverheid","LIMBURG","Mannen","40-49 jaar",2626
"Bedrijfshoofden Landbouw","LIMBURG","Mannen","40-49 jaar",4026
"Bedrijfshoofden Winkels","LIMBURG","Mannen","40-49 jaar",982
"Medew.gezinsleden","GRONINGEN","Mannen","40-49 jaar",218
"Bedrijfshoofden Overige","LIMBURG","Mannen","40-49 jaar",1729
"Medew.gezinsleden","LIMBURG","Mannen","40-49 jaar",412
"Vrije beroepen","LIMBURG","Mannen","40-49 jaar",338
"Employé's","LIMBURG","Mannen","40-49 jaar",5695
"Landbouwarbeiders","LIMBURG","Mannen","40-49 jaar",979
"Overige handarbeiders ","LIMBURG","Mannen","40-49 jaar",17706
"Totaal","LIMBURG","Mannen","40-49 jaar",34493
"Bedrijfshoofden Nijverheid","AMSTERDAM","Mannen","40-49 jaar",3935
"Bedrijfshoofden Landbouw","AMSTERDAM","Mannen","40-49 jaar",222
"Bedrijfshoofden Winkels","AMSTERDAM","Mannen","40-49 jaar",2192
"Vrije beroepen","GRONINGEN","Mannen","40-49 jaar",339
"Bedrijfshoofden Overige","AMSTERDAM","Mannen","40-49 jaar",4269
"Medew.gezinsleden","AMSTERDAM","Mannen","40-49 jaar",63
"Vrije beroepen","AMSTERDAM","Mannen","40-49 jaar",1313
"Employé's","AMSTERDAM","Mannen","40-49 jaar",14053
"Landbouwarbeiders","AMSTERDAM","Mannen","40-49 jaar",374
"Overige handarbeiders ","AMSTERDAM","Mannen","40-49 jaar",23194
"Totaal","AMSTERDAM","Mannen","40-49 jaar",49615
"Bedrijfshoofden Nijverheid","ROTTERDAM","Mannen","40-49 jaar",2462
"Bedrijfshoofden Landbouw","ROTTERDAM","Mannen","40-49 jaar",269
"Bedrijfshoofden Winkels","ROTTERDAM","Mannen","40-49 jaar",1447
"Employé's","GRONINGEN","Mannen","40-49 jaar",4097
"Bedrijfshoofden Overige","ROTTERDAM","Mannen","40-49 jaar",3062
"Medew.gezinsleden","ROTTERDAM","Mannen","40-49 jaar",54
"Vrije beroepen","ROTTERDAM","Mannen","40-49 jaar",595
"Employé's","ROTTERDAM","Mannen","40-49 jaar",10527
"Landbouwarbeiders","ROTTERDAM","Mannen","40-49 jaar",424
"Overige handarbeiders ","ROTTERDAM","Mannen","40-49 jaar",22398
"Totaal","ROTTERDAM","Mannen","40-49 jaar",41238
"Bedrijfshoofden Nijverheid","s-Gravenhage","Mannen","40-49 jaar",2371
"Bedrijfshoofden Landbouw","s-Gravenhage","Mannen","40-49 jaar",154
"Bedrijfshoofden Winkels","s-Gravenhage","Mannen","40-49 jaar",1368
"Landbouwarbeiders","GRONINGEN","Mannen","40-49 jaar",4133
"Bedrijfshoofden Overige","s-Gravenhage","Mannen","40-49 jaar",2177
"Medew.gezinsleden","s-Gravenhage","Mannen","40-49 jaar",28
"Vrije beroepen","s-Gravenhage","Mannen","40-49 jaar",791
"Employé's","s-Gravenhage","Mannen","40-49 jaar",10258
"Landbouwarbeiders","s-Gravenhage","Mannen","40-49 jaar",466
"Overige handarbeiders ","s-Gravenhage","Mannen","40-49 jaar",11691
"Totaal","s-Gravenhage","Mannen","40-49 jaar",29304
"Bedrijfshoofden Nijverheid","UTRECHT","Mannen","40-49 jaar",801
"Bedrijfshoofden Landbouw","UTRECHT","Mannen","40-49 jaar",48
"Bedrijfshoofden Winkels","UTRECHT","Mannen","40-49 jaar",562
"Overige handarbeiders ","GRONINGEN","Mannen","40-49 jaar",7991
"Bedrijfshoofden Overige","UTRECHT","Mannen","40-49 jaar",620
"Medew.gezinsleden","UTRECHT","Mannen","40-49 jaar",12
"Vrije beroepen","UTRECHT","Mannen","40-49 jaar",232
"Employé's","UTRECHT","Mannen","40-49 jaar",2729
"Landbouwarbeiders","UTRECHT","Mannen","40-49 jaar",63
"Overige handarbeiders ","UTRECHT","Mannen","40-49 jaar",4790
"Totaal","UTRECHT","Mannen","40-49 jaar",9857
"Totaal","GRONINGEN","Mannen","40-49 jaar",25618
"Bedrijfshoofden Nijverheid","FRIESLAND","Mannen","40-49 jaar",2269
"Bedrijfshoofden Landbouw","FRIESLAND","Mannen","40-49 jaar",5529
"Bedrijfshoofden Winkels","FRIESLAND","Mannen","40-49 jaar",1179
"Bedrijfshoofden Overige","FRIESLAND","Mannen","40-49 jaar",2319
"Medew.gezinsleden","FRIESLAND","Mannen","40-49 jaar",408
"Vrije beroepen","FRIESLAND","Mannen","40-49 jaar",265
"Employé's","FRIESLAND","Mannen","40-49 jaar",3263
"Landbouwarbeiders","FRIESLAND","Mannen","40-49 jaar",3443
"Overige handarbeiders ","FRIESLAND","Mannen","40-49 jaar",6480
"Totaal","FRIESLAND","Mannen","40-49 jaar",25155
"Bedrijfshoofden Nijverheid","DRENTHE","Mannen","40-49 jaar",1135
"Bedrijfshoofden Landbouw","DRENTHE","Mannen","40-49 jaar",4228
"Bedrijfshoofden Winkels","DRENTHE","Mannen","40-49 jaar",471
"Bedrijfshoofden Overige","DRENTHE","Mannen","40-49 jaar",799
"Medew.gezinsleden","DRENTHE","Mannen","40-49 jaar",344
"Vrije beroepen","DRENTHE","Mannen","40-49 jaar",108
"Employé's","DRENTHE","Mannen","40-49 jaar",1676
"Landbouwarbeiders","DRENTHE","Mannen","40-49 jaar",1688
"Overige handarbeiders ","DRENTHE","Mannen","40-49 jaar",4051
"Totaal","DRENTHE","Mannen","40-49 jaar",14500
"Bedrijfshoofden Nijverheid","OVERIJSSEL","Mannen","40-49 jaar",3302
"Bedrijfshoofden Landbouw","OVERIJSSEL","Mannen","40-49 jaar",6086
"Bedrijfshoofden Winkels","OVERIJSSEL","Mannen","40-49 jaar",1377
"Bedrijfshoofden Overige","OVERIJSSEL","Mannen","40-49 jaar",1945
"Medew.gezinsleden","OVERIJSSEL","Mannen","40-49 jaar",564
"Vrije beroepen","OVERIJSSEL","Mannen","40-49 jaar",376
"Employé's","OVERIJSSEL","Mannen","40-49 jaar",5807
"Landbouwarbeiders","OVERIJSSEL","Mannen","40-49 jaar",1654
"Overige handarbeiders ","OVERIJSSEL","Mannen","40-49 jaar",16075
"Totaal","OVERIJSSEL","Mannen","40-49 jaar",37186
"Bedrijfshoofden Nijverheid","GELDERLAND","Mannen","40-49 jaar",5567
"Bedrijfshoofden Landbouw","GELDERLAND","Mannen","40-49 jaar",10180
"Bedrijfshoofden Winkels","GELDERLAND","Mannen","40-49 jaar",2070
"Bedrijfshoofden Overige","GELDERLAND","Mannen","40-49 jaar",3461
"Medew.gezinsleden","GELDERLAND","Mannen","40-49 jaar",941
"Vrije beroepen","GELDERLAND","Mannen","40-49 jaar",660
"Employé's","GELDERLAND","Mannen","40-49 jaar",8945
"Landbouwarbeiders","GELDERLAND","Mannen","40-49 jaar",3230
"Overige handarbeiders ","GELDERLAND","Mannen","40-49 jaar",21282
"Totaal","GELDERLAND","Mannen","40-49 jaar",56336
"Bedrijfshoofden Nijverheid","UTRECHT","Mannen","40-49 jaar",2701
"Bedrijfshoofden Landbouw","UTRECHT","Mannen","40-49 jaar",2049
"Bedrijfshoofden Winkels","UTRECHT","Mannen","40-49 jaar",1341
"Bedrijfshoofden Overige","UTRECHT","Mannen","40-49 jaar",2232
"Medew.gezinsleden","UTRECHT","Mannen","40-49 jaar",147
"Vrije beroepen","UTRECHT","Mannen","40-49 jaar",560
"Employé's","UTRECHT","Mannen","40-49 jaar",6605
"Landbouwarbeiders","UTRECHT","Mannen","40-49 jaar",1084
"Overige handarbeiders ","UTRECHT","Mannen","40-49 jaar",11863
"Totaal","UTRECHT","Mannen","40-49 jaar",28582
"Bedrijfshoofden Nijverheid","NOORDHOLLAND","Mannen","40-49 jaar",9022
"Bedrijfshoofden Landbouw","NOORDHOLLAND","Mannen","40-49 jaar",5814
"Bedrijfshoofden Winkels","NOORDHOLLAND","Mannen","40-49 jaar",4626
"Bedrijfshoofden Nijverheid","GRONINGEN","Mannen","40-49 jaar",2475
"Bedrijfshoofden Overige","NOORDHOLLAND","Mannen","40-49 jaar",9268
"Medew.gezinsleden","NOORDHOLLAND","Mannen","40-49 jaar",450
"Vrije beroepen","NOORDHOLLAND","Mannen","40-49 jaar",2455
"Employé's","NOORDHOLLAND","Mannen","40-49 jaar",26719
"Landbouwarbeiders","NOORDHOLLAND","Mannen","40-49 jaar",3885
"Overige handarbeiders ","NOORDHOLLAND","Mannen","40-49 jaar",42600
"Totaal","NOORDHOLLAND","Mannen","40-49 jaar",104839
"Bedrijfshoofden Nijverheid","ZUIDHOLLAND","Mannen","40-49 jaar",9905
"Bedrijfshoofden Landbouw","ZUIDHOLLAND","Mannen","40-49 jaar",6971
"Bedrijfshoofden Winkels","ZUIDHOLLAND","Mannen","40-49 jaar",5345
"Bedrijfshoofden Landbouw","GRONINGEN","Mannen","40-49 jaar",3044
"Bedrijfshoofden Overige","ZUIDHOLLAND","Mannen","40-49 jaar",10038
"Medew.gezinsleden","ZUIDHOLLAND","Mannen","40-49 jaar",547
"Vrije beroepen","ZUIDHOLLAND","Mannen","40-49 jaar",2146
"Employé's","ZUIDHOLLAND","Mannen","40-49 jaar",32201
"Landbouwarbeiders","ZUIDHOLLAND","Mannen","40-49 jaar",6762
"Overige handarbeiders ","ZUIDHOLLAND","Mannen","40-49 jaar",58437
"Totaal","ZUIDHOLLAND","Mannen","40-49 jaar",132352
"Bedrijfshoofden Nijverheid","ZEELAND","Mannen","40-49 jaar",1468
"Bedrijfshoofden Landbouw","ZEELAND","Mannen","40-49 jaar",2523
"Bedrijfshoofden Winkels","ZEELAND","Mannen","40-49 jaar",508
"Bedrijfshoofden Winkels","GRONINGEN","Mannen","40-49 jaar",1083
"Bedrijfshoofden Overige","ZEELAND","Mannen","40-49 jaar",1317
"Medew.gezinsleden","ZEELAND","Mannen","40-49 jaar",225
"Vrije beroepen","ZEELAND","Mannen","40-49 jaar",128
"Employé's","ZEELAND","Mannen","40-49 jaar",2161
"Landbouwarbeiders","ZEELAND","Mannen","40-49 jaar",2693
"Overige handarbeiders ","ZEELAND","Mannen","40-49 jaar",4507
"Totaal","ZEELAND","Mannen","40-49 jaar",15530
"Bedrijfshoofden Nijverheid","NOORDBRABANT","Mannen","40-49 jaar",5359
"Bedrijfshoofden Landbouw","NOORDBRABANT","Mannen","40-49 jaar",8438
"Bedrijfshoofden Winkels","NOORDBRABANT","Mannen","40-49 jaar",1954
"Bedrijfshoofden Overige","GRONINGEN","Mannen","50-64 jaar",2299
"Bedrijfshoofden Overige","NOORDBRABANT","Mannen","50-64 jaar",3536
"Medew.gezinsleden","NOORDBRABANT","Mannen","50-64 jaar",156
"Vrije beroepen","NOORDBRABANT","Mannen","50-64 jaar",486
"Employé's","NOORDBRABANT","Mannen","50-64 jaar",7457
"Landbouwarbeiders","NOORDBRABANT","Mannen","50-64 jaar",2886
"Overige handarbeiders ","NOORDBRABANT","Mannen","50-64 jaar",20042
"Totaal","NOORDBRABANT","Mannen","50-64 jaar",53357
"Bedrijfshoofden Nijverheid","LIMBURG","Mannen","50-64 jaar",3041
"Bedrijfshoofden Landbouw","LIMBURG","Mannen","50-64 jaar",6164
"Bedrijfshoofden Winkels","LIMBURG","Mannen","50-64 jaar",1200
"Medew.gezinsleden","GRONINGEN","Mannen","50-64 jaar",65
"Bedrijfshoofden Overige","LIMBURG","Mannen","50-64 jaar",2103
"Medew.gezinsleden","LIMBURG","Mannen","50-64 jaar",72
"Vrije beroepen","LIMBURG","Mannen","50-64 jaar",295
"Employé's","LIMBURG","Mannen","50-64 jaar",4527
"Landbouwarbeiders","LIMBURG","Mannen","50-64 jaar",1030
"Overige handarbeiders ","LIMBURG","Mannen","50-64 jaar",12432
"Totaal","LIMBURG","Mannen","50-64 jaar",30864
"Bedrijfshoofden Nijverheid","AMSTERDAM","Mannen","50-64 jaar",4444
"Bedrijfshoofden Landbouw","AMSTERDAM","Mannen","50-64 jaar",281
"Bedrijfshoofden Winkels","AMSTERDAM","Mannen","50-64 jaar",2145
"Vrije beroepen","GRONINGEN","Mannen","50-64 jaar",264
"Bedrijfshoofden Overige","AMSTERDAM","Mannen","50-64 jaar",4576
"Medew.gezinsleden","AMSTERDAM","Mannen","50-64 jaar",9
"Vrije beroepen","AMSTERDAM","Mannen","50-64 jaar",1271
"Employé's","AMSTERDAM","Mannen","50-64 jaar",13103
"Landbouwarbeiders","AMSTERDAM","Mannen","50-64 jaar",500
"Overige handarbeiders ","AMSTERDAM","Mannen","50-64 jaar",25249
"Totaal","AMSTERDAM","Mannen","50-64 jaar",51578
"Bedrijfshoofden Nijverheid","ROTTERDAM","Mannen","50-64 jaar",2761
"Bedrijfshoofden Landbouw","ROTTERDAM","Mannen","50-64 jaar",326
"Bedrijfshoofden Winkels","ROTTERDAM","Mannen","50-64 jaar",1398
"Employé's","GRONINGEN","Mannen","50-64 jaar",3362
"Bedrijfshoofden Overige","ROTTERDAM","Mannen","50-64 jaar",3318
"Medew.gezinsleden","ROTTERDAM","Mannen","50-64 jaar",24
"Vrije beroepen","ROTTERDAM","Mannen","50-64 jaar",555
"Employé's","ROTTERDAM","Mannen","50-64 jaar",9018
"Landbouwarbeiders","ROTTERDAM","Mannen","50-64 jaar",469
"Overige handarbeiders ","ROTTERDAM","Mannen","50-64 jaar",21031
"Totaal","ROTTERDAM","Mannen","50-64 jaar",38900
"Bedrijfshoofden Nijverheid","s-Gravenhage","Mannen","50-64 jaar",3066
"Bedrijfshoofden Landbouw","s-Gravenhage","Mannen","50-64 jaar",216
"Bedrijfshoofden Winkels","s-Gravenhage","Mannen","50-64 jaar",1521
"Landbouwarbeiders","GRONINGEN","Mannen","50-64 jaar",4188
"Bedrijfshoofden Overige","s-Gravenhage","Mannen","50-64 jaar",2649
"Medew.gezinsleden","s-Gravenhage","Mannen","50-64 jaar",8
"Vrije beroepen","s-Gravenhage","Mannen","50-64 jaar",1001
"Employé's","s-Gravenhage","Mannen","50-64 jaar",9977
"Landbouwarbeiders","s-Gravenhage","Mannen","50-64 jaar",415
"Overige handarbeiders ","s-Gravenhage","Mannen","50-64 jaar",12034
"Totaal","s-Gravenhage","Mannen","50-64 jaar",30887
"Bedrijfshoofden Nijverheid","UTRECHT","Mannen","50-64 jaar",1005
"Bedrijfshoofden Landbouw","UTRECHT","Mannen","50-64 jaar",62
"Bedrijfshoofden Winkels","UTRECHT","Mannen","50-64 jaar",537
"Overige handarbeiders ","GRONINGEN","Mannen","50-64 jaar",7504
"Bedrijfshoofden Overige","UTRECHT","Mannen","50-64 jaar",694
"Medew.gezinsleden","UTRECHT","Mannen","50-64 jaar",2
"Vrije beroepen","UTRECHT","Mannen","50-64 jaar",219
"Employé's","UTRECHT","Mannen","50-64 jaar",3055
"Landbouwarbeiders","UTRECHT","Mannen","50-64 jaar",75
"Overige handarbeiders ","UTRECHT","Mannen","50-64 jaar",4617
"Totaal","UTRECHT","Mannen","50-64 jaar",10266
"Totaal","GRONINGEN","Mannen","50-64 jaar",25387
"Bedrijfshoofden Nijverheid","FRIESLAND","Mannen","50-64 jaar",2704
"Bedrijfshoofden Landbouw","FRIESLAND","Mannen","50-64 jaar",6667
"Bedrijfshoofden Winkels","FRIESLAND","Mannen","50-64 jaar",1208
"Bedrijfshoofden Overige","FRIESLAND","Mannen","50-64 jaar",2597
"Medew.gezinsleden","FRIESLAND","Mannen","50-64 jaar",85
"Vrije beroepen","FRIESLAND","Mannen","50-64 jaar",243
"Employé's","FRIESLAND","Mannen","50-64 jaar",2977
"Landbouwarbeiders","FRIESLAND","Mannen","50-64 jaar",3573
"Overige handarbeiders ","FRIESLAND","Mannen","50-64 jaar",6675
"Totaal","FRIESLAND","Mannen","50-64 jaar",26729
"Bedrijfshoofden Nijverheid","DRENTHE","Mannen","50-64 jaar",1297
"Bedrijfshoofden Landbouw","DRENTHE","Mannen","50-64 jaar",5080
"Bedrijfshoofden Winkels","DRENTHE","Mannen","50-64 jaar",485
"Bedrijfshoofden Overige","DRENTHE","Mannen","50-64 jaar",863
"Medew.gezinsleden","DRENTHE","Mannen","50-64 jaar",75
"Vrije beroepen","DRENTHE","Mannen","50-64 jaar",96
"Employé's","DRENTHE","Mannen","50-64 jaar",1346
"Landbouwarbeiders","DRENTHE","Mannen","50-64 jaar",1386
"Overige handarbeiders ","DRENTHE","Mannen","50-64 jaar",3336
"Totaal","DRENTHE","Mannen","50-64 jaar",13964
"Bedrijfshoofden Nijverheid","OVERIJSSEL","Mannen","50-64 jaar",3354
"Bedrijfshoofden Landbouw","OVERIJSSEL","Mannen","50-64 jaar",8117
"Bedrijfshoofden Winkels","OVERIJSSEL","Mannen","50-64 jaar",1355
"Bedrijfshoofden Overige","OVERIJSSEL","Mannen","50-64 jaar",2050
"Medew.gezinsleden","OVERIJSSEL","Mannen","50-64 jaar",140
"Vrije beroepen","OVERIJSSEL","Mannen","50-64 jaar",291
"Employé's","OVERIJSSEL","Mannen","50-64 jaar",4447
"Landbouwarbeiders","OVERIJSSEL","Mannen","50-64 jaar",1522
"Overige handarbeiders ","OVERIJSSEL","Mannen","50-64 jaar",14341
"Totaal","OVERIJSSEL","Mannen","50-64 jaar",35617
"Bedrijfshoofden Nijverheid","GELDERLAND","Mannen","50-64 jaar",5875
"Bedrijfshoofden Landbouw","GELDERLAND","Mannen","50-64 jaar",13949
"Bedrijfshoofden Winkels","GELDERLAND","Mannen","50-64 jaar",1877
"Bedrijfshoofden Overige","GELDERLAND","Mannen","50-64 jaar",3424
"Medew.gezinsleden","GELDERLAND","Mannen","50-64 jaar",187
"Vrije beroepen","GELDERLAND","Mannen","50-64 jaar",674
"Employé's","GELDERLAND","Mannen","50-64 jaar",7744
"Landbouwarbeiders","GELDERLAND","Mannen","50-64 jaar",3365
"Overige handarbeiders ","GELDERLAND","Mannen","50-64 jaar",17812
"Totaal","GELDERLAND","Mannen","50-64 jaar",54907
"Bedrijfshoofden Nijverheid","UTRECHT","Mannen","50-64 jaar",3087
"Bedrijfshoofden Landbouw","UTRECHT","Mannen","50-64 jaar",2620
"Bedrijfshoofden Winkels","UTRECHT","Mannen","50-64 jaar",1276
"Bedrijfshoofden Overige","UTRECHT","Mannen","50-64 jaar",2534
"Medew.gezinsleden","UTRECHT","Mannen","50-64 jaar",35
"Vrije beroepen","UTRECHT","Mannen","50-64 jaar",549
"Employé's","UTRECHT","Mannen","50-64 jaar",6627
"Landbouwarbeiders","UTRECHT","Mannen","50-64 jaar",1284
"Overige handarbeiders ","UTRECHT","Mannen","50-64 jaar",10662
"Totaal","UTRECHT","Mannen","50-64 jaar",28674
"Bedrijfshoofden Nijverheid","NOORDHOLLAND","Mannen","50-64 jaar",10536
"Bedrijfshoofden Landbouw","NOORDHOLLAND","Mannen","50-64 jaar",7421
"Bedrijfshoofden Winkels","NOORDHOLLAND","Mannen","50-64 jaar",4688
"Bedrijfshoofden Nijverheid","GRONINGEN","Mannen","50-64 jaar",2926
"Bedrijfshoofden Overige","NOORDHOLLAND","Mannen","50-64 jaar",10190
"Medew.gezinsleden","NOORDHOLLAND","Mannen","50-64 jaar",79
"Vrije beroepen","NOORDHOLLAND","Mannen","50-64 jaar",2319
"Employé's","NOORDHOLLAND","Mannen","50-64 jaar",24005
"Landbouwarbeiders","NOORDHOLLAND","Mannen","50-64 jaar",3914
"Overige handarbeiders ","NOORDHOLLAND","Mannen","50-64 jaar",43821
"Totaal","NOORDHOLLAND","Mannen","50-64 jaar",106973
"Bedrijfshoofden Nijverheid","ZUIDHOLLAND","Mannen","50-64 jaar",11883
"Bedrijfshoofden Landbouw","ZUIDHOLLAND","Mannen","50-64 jaar",8244
"Bedrijfshoofden Winkels","ZUIDHOLLAND","Mannen","50-64 jaar",5424
"Bedrijfshoofden Landbouw","GRONINGEN","Mannen","50-64 jaar",3792
"Bedrijfshoofden Overige","ZUIDHOLLAND","Mannen","50-64 jaar",11245
"Medew.gezinsleden","ZUIDHOLLAND","Mannen","50-64 jaar",108
"Vrije beroepen","ZUIDHOLLAND","Mannen","50-64 jaar",2260
"Employé's","ZUIDHOLLAND","Mannen","50-64 jaar",28554
"Landbouwarbeiders","ZUIDHOLLAND","Mannen","50-64 jaar",6728
"Overige handarbeiders ","ZUIDHOLLAND","Mannen","50-64 jaar",55851
"Totaal","ZUIDHOLLAND","Mannen","50-64 jaar",130297
"Bedrijfshoofden Nijverheid","ZEELAND","Mannen","50-64 jaar",1778
"Bedrijfshoofden Landbouw","ZEELAND","Mannen","50-64 jaar",3582
"Bedrijfshoofden Winkels","ZEELAND","Mannen","50-64 jaar",590
"Bedrijfshoofden Winkels","GRONINGEN","Mannen","50-64 jaar",987
"Bedrijfshoofden Overige","ZEELAND","Mannen","50-64 jaar",1516
"Medew.gezinsleden","ZEELAND","Mannen","50-64 jaar",47
"Vrije beroepen","ZEELAND","Mannen","50-64 jaar",109
"Employé's","ZEELAND","Mannen","50-64 jaar",1764
"Landbouwarbeiders","ZEELAND","Mannen","50-64 jaar",3157
"Overige handarbeiders ","ZEELAND","Mannen","50-64 jaar",4217
"Totaal","ZEELAND","Mannen","50-64 jaar",16760
"Bedrijfshoofden Nijverheid","NOORDBRABANT","Mannen","50-64 jaar",5679
"Bedrijfshoofden Landbouw","NOORDBRABANT","Mannen","50-64 jaar",11316
"Bedrijfshoofden Winkels","NOORDBRABANT","Mannen","50-64 jaar",1799
"Bedrijfshoofden Overige","GRONINGEN","Mannen","65 j. e.o.",686
"Bedrijfshoofden Overige","NOORDBRABANT","Mannen","65 j. e.o.",1063
"Medew.gezinsleden","NOORDBRABANT","Mannen","65 j. e.o.",3
"Vrije beroepen","NOORDBRABANT","Mannen","65 j. e.o.",141
"Employé's","NOORDBRABANT","Mannen","65 j. e.o.",724
"Landbouwarbeiders","NOORDBRABANT","Mannen","65 j. e.o.",1077
"Overige handarbeiders ","NOORDBRABANT","Mannen","65 j. e.o.",2184
"Totaal","NOORDBRABANT","Mannen","65 j. e.o.",12979
"Bedrijfshoofden Nijverheid","LIMBURG","Mannen","65 j. e.o.",850
"Bedrijfshoofden Landbouw","LIMBURG","Mannen","65 j. e.o.",3775
"Bedrijfshoofden Winkels","LIMBURG","Mannen","65 j. e.o.",358
"Medew.gezinsleden","GRONINGEN","Mannen","65 j. e.o.",1
