"age_c" "gender_c" "occupation_c" "population"
"1057" "14 to 15" "Male" "Fabricage van briguetten" 4
"1058" "16 to 17" "Male" "Fabricage van briguetten" 8
"1059" "18 to 22" "Male" "Fabricage van briguetten" 4
"1060" "23 to 24" "Male" "Fabricage van briguetten" 2
"1061" "25 to 35" "Male" "Fabricage van briguetten" 2
"1062" "36 to 50" "Male" "Fabricage van briguetten" 2
"1063" "51 to 60" "Male" "Fabricage van briguetten" 1
"1064" "18 to 22" "Male" "Fabricage van bronswaren" 1
"1065" "25 to 35" "Male" "Fabricage van bronswaren" 3
"1066" "36 to 50" "Male" "Fabricage van bronswaren" 2
"1067" "13" "Male" "Fabricage van brood en beschuit" 2
"1068" "14 to 15" "Male" "Fabricage van brood en beschuit" 4
"1069" "16 to 17" "Male" "Fabricage van brood en beschuit" 5
"1070" "18 to 22" "Male" "Fabricage van brood en beschuit" 8
"1071" "23 to 24" "Male" "Fabricage van brood en beschuit" 3
"1072" "25 to 35" "Male" "Fabricage van brood en beschuit" 40
"1073" "36 to 50" "Male" "Fabricage van brood en beschuit" 67
"1074" "51 to 60" "Male" "Fabricage van brood en beschuit" 35
"1075" "61 to 65" "Male" "Fabricage van brood en beschuit" 6
"1076" "66 to 70" "Male" "Fabricage van brood en beschuit" 1
"1077" "Older than 70" "Male" "Fabricage van brood en beschuit" 2
"1078" "14 to 15" "Female" "Fabricage van brood en beschuit" 2
"1079" "16 to 17" "Female" "Fabricage van brood en beschuit" 1
"1080" "18 to 22" "Female" "Fabricage van brood en beschuit" 2
"1081" "18 to 22" "Male" "Fabricage van buskruit" 1
"1082" "51 to 60" "Male" "Fabricage van buskruit" 1
"1083" "14 to 15" "Male" "Fabricage van cacao" 1
"1084" "16 to 17" "Male" "Fabricage van cacao" 1
"1085" "25 to 35" "Male" "Fabricage van cacao" 4
"1086" "36 to 50" "Male" "Fabricage van cacao" 2
"1087" "51 to 60" "Male" "Fabricage van cacao" 2
"1088" "61 to 65" "Male" "Fabricage van cacao" 2
"1089" "18 to 22" "Female" "Fabricage van cacao" 1
"1090" "18 to 22" "Male" "Fabricage van caoutchoucstempels" 1
"1091" "13" "Male" "Fabricage van caoutchoucswaren" 1
"1092" "18 to 22" "Male" "Fabricage van caoutchoucswaren" 2
"1093" "23 to 24" "Male" "Fabricage van caoutchoucswaren" 1
"1094" "25 to 35" "Male" "Fabricage van caoutchoucswaren" 11
"1095" "36 to 50" "Male" "Fabricage van caoutchoucswaren" 1
"1096" "36 to 50" "Male" "Fabricage van capsulen" 1
"1097" "23 to 24" "Male" "Fabricage van cement" 1
"1098" "25 to 35" "Male" "Fabricage van cement" 1
"1099" "36 to 50" "Male" "Fabricage van cement" 6
"1100" "12" "Male" "Fabricage van chemicaliën (aether, amoniak, chinine, houtteer, glycerine, soda, enz.)" 1
"1101" "14 to 15" "Male" "Fabricage van chemicaliën (aether, amoniak, chinine, houtteer, glycerine, soda, enz.)" 1
"1102" "16 to 17" "Male" "Fabricage van chemicaliën (aether, amoniak, chinine, houtteer, glycerine, soda, enz.)" 2
"1103" "18 to 22" "Male" "Fabricage van chemicaliën (aether, amoniak, chinine, houtteer, glycerine, soda, enz.)" 10
"1104" "23 to 24" "Male" "Fabricage van chemicaliën (aether, amoniak, chinine, houtteer, glycerine, soda, enz.)" 5
"1105" "25 to 35" "Male" "Fabricage van chemicaliën (aether, amoniak, chinine, houtteer, glycerine, soda, enz.)" 15
"1106" "36 to 50" "Male" "Fabricage van chemicaliën (aether, amoniak, chinine, houtteer, glycerine, soda, enz.)" 25
"1107" "51 to 60" "Male" "Fabricage van chemicaliën (aether, amoniak, chinine, houtteer, glycerine, soda, enz.)" 8
"1108" "61 to 65" "Male" "Fabricage van chemicaliën (aether, amoniak, chinine, houtteer, glycerine, soda, enz.)" 1
"1109" "66 to 70" "Male" "Fabricage van chemicaliën (aether, amoniak, chinine, houtteer, glycerine, soda, enz.)" 2
"1110" "Older than 70" "Male" "Fabricage van chemicaliën (aether, amoniak, chinine, houtteer, glycerine, soda, enz.)" 1
"1111" "18 to 22" "Female" "Fabricage van chemicaliën (aether, amoniak, chinine, houtteer, glycerine, soda, enz.)" 1
"1112" "12" "Male" "Fabricage van chocolaad" 2
"1113" "13" "Male" "Fabricage van chocolaad" 11
"1114" "14 to 15" "Male" "Fabricage van chocolaad" 16
"1115" "16 to 17" "Male" "Fabricage van chocolaad" 13
"1116" "18 to 22" "Male" "Fabricage van chocolaad" 14
"1117" "23 to 24" "Male" "Fabricage van chocolaad" 6
"1118" "25 to 35" "Male" "Fabricage van chocolaad" 28
"1119" "36 to 50" "Male" "Fabricage van chocolaad" 21
"1120" "51 to 60" "Male" "Fabricage van chocolaad" 15
"1121" "61 to 65" "Male" "Fabricage van chocolaad" 3
"1122" "66 to 70" "Male" "Fabricage van chocolaad" 2
"1123" "Older than 70" "Male" "Fabricage van chocolaad" 1
"1124" "13" "Female" "Fabricage van chocolaad" 3
"1125" "14 to 15" "Female" "Fabricage van chocolaad" 8
"1126" "16 to 17" "Female" "Fabricage van chocolaad" 9
"1127" "18 to 22" "Female" "Fabricage van chocolaad" 12
"1128" "23 to 24" "Female" "Fabricage van chocolaad" 4
"1129" "25 to 35" "Female" "Fabricage van chocolaad" 4
"1130" "36 to 50" "Female" "Fabricage van chocolaad" 2
"1131" "51 to 60" "Female" "Fabricage van chocolaad" 2
"1132" "25 to 35" "Male" "Fabricage van chronometers" 1
"1133" "36 to 50" "Male" "Fabricage van chronometers" 1
"1134" "36 to 50" "Male" "Fabricage van cichorei en koffiestroop" 2
"1135" "14 to 15" "Male" "Fabricage van comestibles" 1
"1136" "16 to 17" "Male" "Fabricage van comestibles" 1
"1137" "18 to 22" "Male" "Fabricage van comestibles" 2
"1138" "23 to 24" "Male" "Fabricage van comestibles" 1
"1139" "25 to 35" "Male" "Fabricage van comestibles" 1
"1140" "36 to 50" "Male" "Fabricage van comestibles" 6
"1141" "51 to 60" "Male" "Fabricage van comestibles" 3
"1142" "61 to 65" "Male" "Fabricage van comestibles" 2
"1143" "66 to 70" "Male" "Fabricage van comestibles" 1
"1144" "18 to 22" "Female" "Fabricage van comestibles" 1
"1145" "51 to 60" "Female" "Fabricage van comestibles" 1
"1146" "66 to 70" "Female" "Fabricage van comestibles" 1
"1147" "14 to 15" "Male" "Fabricage van corsetten" 1
"1148" "18 to 22" "Male" "Fabricage van corsetten" 1
"1149" "25 to 35" "Male" "Fabricage van corsetten" 4
"1150" "36 to 50" "Male" "Fabricage van corsetten" 4
"1151" "51 to 60" "Male" "Fabricage van corsetten" 3
"1152" "66 to 70" "Male" "Fabricage van corsetten" 1
"1153" "12" "Female" "Fabricage van corsetten" 1
"1154" "13" "Female" "Fabricage van corsetten" 1
"1155" "14 to 15" "Female" "Fabricage van corsetten" 9
"1156" "16 to 17" "Female" "Fabricage van corsetten" 12
"1157" "18 to 22" "Female" "Fabricage van corsetten" 20
"1158" "23 to 24" "Female" "Fabricage van corsetten" 9
"1159" "25 to 35" "Female" "Fabricage van corsetten" 15
"1160" "36 to 50" "Female" "Fabricage van corsetten" 9
"1161" "51 to 60" "Female" "Fabricage van corsetten" 5
"1162" "61 to 65" "Female" "Fabricage van corsetten" 2
"1163" "Older than 70" "Female" "Fabricage van corsetten" 1
"1164" "16 to 17" "Female" "Fabricage van couverten" 1
"1165" "66 to 70" "Male" "Fabricage van dakpannen (pannenbakkers)" 1
"1166" "23 to 24" "Male" "Fabricage van dekens" 1
"1167" "36 to 50" "Male" "Fabricage van dekens" 5
"1168" "51 to 60" "Male" "Fabricage van dekens" 1
"1169" "Older than 70" "Male" "Fabricage van dekens" 1
"1170" "14 to 15" "Female" "Fabricage van dekens" 4
"1171" "16 to 17" "Female" "Fabricage van dekens" 7
"1172" "18 to 22" "Female" "Fabricage van dekens" 17
"1173" "23 to 24" "Female" "Fabricage van dekens" 6
"1174" "25 to 35" "Female" "Fabricage van dekens" 15
"1175" "36 to 50" "Female" "Fabricage van dekens" 10
"1176" "51 to 60" "Female" "Fabricage van dekens" 4
"1177" "61 to 65" "Female" "Fabricage van dekens" 5
"1178" "66 to 70" "Female" "Fabricage van dekens" 1
"1179" "12" "Male" "Fabricage van drijfriemen" 1
"1180" "13" "Male" "Fabricage van drijfriemen" 3
"1181" "14 to 15" "Male" "Fabricage van drijfriemen" 4
"1182" "16 to 17" "Male" "Fabricage van drijfriemen" 5
"1183" "18 to 22" "Male" "Fabricage van drijfriemen" 9
"1184" "23 to 24" "Male" "Fabricage van drijfriemen" 1
"1185" "25 to 35" "Male" "Fabricage van drijfriemen" 10
"1186" "36 to 50" "Male" "Fabricage van drijfriemen" 9
"1187" "51 to 60" "Male" "Fabricage van drijfriemen" 3
"1188" "36 to 50" "Male" "Fabricage van drukinkt" 1
"1189" "18 to 22" "Male" "Fabricage van eau de cologne" 1
"1190" "36 to 50" "Male" "Fabricage van eau de cologne" 5
"1191" "51 to 60" "Male" "Fabricage van eau de cologne" 1
"1192" "14 to 15" "Female" "Fabricage van eau de cologne" 1
"1193" "16 to 17" "Female" "Fabricage van eau de cologne" 3
"1194" "25 to 35" "Female" "Fabricage van eau de cologne" 1
"1195" "36 to 50" "Female" "Fabricage van eau de cologne" 1
"1196" "51 to 60" "Female" "Fabricage van eau de cologne" 1
"1197" "18 to 22" "Male" "Fabricage van electriciteit" 2
"1198" "23 to 24" "Male" "Fabricage van electriciteit" 1
"1199" "25 to 35" "Male" "Fabricage van electriciteit" 3
"1200" "36 to 50" "Male" "Fabricage van electriciteit" 2
"1201" "51 to 60" "Male" "Fabricage van electriciteit" 1
"1202" "36 to 50" "Male" "Fabricage van filtreermachines" 1
"1203" "25 to 35" "Male" "Fabricage van fluweel" 1
"1204" "51 to 60" "Male" "Fabricage van galanteriewaren" 1
"1205" "Older than 70" "Male" "Fabricage van garen" 1
"1206" "25 to 35" "Female" "Fabricage van garen" 1
"1207" "36 to 50" "Female" "Fabricage van garen" 1
"1208" "12" "Male" "Fabricage van gas" 1
"1209" "13" "Male" "Fabricage van gas" 1
"1210" "14 to 15" "Male" "Fabricage van gas" 4
"1211" "16 to 17" "Male" "Fabricage van gas" 6
"1212" "18 to 22" "Male" "Fabricage van gas" 36
"1213" "23 to 24" "Male" "Fabricage van gas" 26
"1214" "25 to 35" "Male" "Fabricage van gas" 168
"1215" "36 to 50" "Male" "Fabricage van gas" 255
"1216" "51 to 60" "Male" "Fabricage van gas" 93
"1217" "61 to 65" "Male" "Fabricage van gas" 19
"1218" "66 to 70" "Male" "Fabricage van gas" 14
"1219" "Older than 70" "Male" "Fabricage van gas" 3
"1220" "25 to 35" "Male" "Fabricage van gasbuizen" 3
"1221" "36 to 50" "Male" "Fabricage van gasbuizen" 5
"1222" "66 to 70" "Male" "Fabricage van gasbuizen" 1
"1223" "Older than 70" "Male" "Fabricage van gasbuizen" 1
"1224" "18 to 22" "Male" "Fabricage van gasmeters" 1
"1225" "25 to 35" "Male" "Fabricage van gasmeters" 2
"1226" "36 to 50" "Male" "Fabricage van gasmeters" 5
"1227" "36 to 50" "Male" "Fabricage van gasornamenten" 2
"1228" "25 to 35" "Male" "Fabricage van gips" 1
"1229" "36 to 50" "Male" "Fabricage van gips" 1
"1230" "51 to 60" "Male" "Fabricage van gips" 5
"1231" "61 to 65" "Male" "Fabricage van gips" 1
"1232" "36 to 50" "Male" "Fabricage van gipswaren" 1
"1233" "16 to 17" "Male" "Fabricage van gist" 2
"1234" "18 to 22" "Male" "Fabricage van gist" 2
"1235" "25 to 35" "Male" "Fabricage van gist" 4
"1236" "36 to 50" "Male" "Fabricage van gist" 4
"1237" "51 to 60" "Male" "Fabricage van gist" 3
"1238" "61 to 65" "Male" "Fabricage van gist" 1
"1239" "Older than 70" "Male" "Fabricage van gist" 1
"1240" "18 to 22" "Male" "Fabricage van glas (incl. kristal en spiegelglas)" 1
"1241" "23 to 24" "Male" "Fabricage van glas (incl. kristal en spiegelglas)" 4
"1242" "25 to 35" "Male" "Fabricage van glas (incl. kristal en spiegelglas)" 3
"1243" "36 to 50" "Male" "Fabricage van glas (incl. kristal en spiegelglas)" 5
"1244" "51 to 60" "Male" "Fabricage van glas (incl. kristal en spiegelglas)" 1
"1245" "61 to 65" "Male" "Fabricage van glas (incl. kristal en spiegelglas)" 2
"1246" "Older than 70" "Male" "Fabricage van glas (incl. kristal en spiegelglas)" 1
"1247" "36 to 50" "Female" "Fabricage van glas (incl. kristal en spiegelglas)" 1
"1248" "18 to 22" "Male" "Fabricage van goud- en zilverwerken" 1
"1249" "23 to 24" "Male" "Fabricage van goud- en zilverwerken" 3
"1250" "25 to 35" "Male" "Fabricage van goud- en zilverwerken" 1
"1251" "36 to 50" "Male" "Fabricage van goud- en zilverwerken" 10
"1252" "51 to 60" "Male" "Fabricage van goud- en zilverwerken" 5
"1253" "61 to 65" "Male" "Fabricage van goud- en zilverwerken" 2
"1254" "66 to 70" "Male" "Fabricage van goud- en zilverwerken" 1
"1255" "12" "Female" "Fabricage van goud- en zilverwerken" 1
"1256" "13" "Female" "Fabricage van goud- en zilverwerken" 1
"1257" "14 to 15" "Female" "Fabricage van goud- en zilverwerken" 1
"1258" "23 to 24" "Female" "Fabricage van goud- en zilverwerken" 1
"1259" "25 to 35" "Female" "Fabricage van goud- en zilverwerken" 1
"1260" "51 to 60" "Male" "Fabricage van haarwater" 1
"1261" "12" "Male" "Fabricage van handschoenen" 1
"1262" "16 to 17" "Male" "Fabricage van handschoenen" 1
"1263" "18 to 22" "Male" "Fabricage van handschoenen" 1
"1264" "25 to 35" "Male" "Fabricage van handschoenen" 3
"1265" "36 to 50" "Male" "Fabricage van handschoenen" 2
"1266" "18 to 22" "Female" "Fabricage van handschoenen" 1
"1267" "36 to 50" "Female" "Fabricage van handschoenen" 1
"1268" "36 to 50" "Male" "Fabricage van heel- en verloskundige instrumenten" 1
"1269" "23 to 24" "Male" "Fabricage van hemden en boorden" 2
"1270" "25 to 35" "Male" "Fabricage van hemden en boorden" 2
"1271" "36 to 50" "Male" "Fabricage van hemden en boorden" 4
"1272" "14 to 15" "Female" "Fabricage van hemden en boorden" 3
"1273" "16 to 17" "Female" "Fabricage van hemden en boorden" 2
"1274" "36 to 50" "Female" "Fabricage van hemden en boorden" 2
"1275" "13" "Male" "Fabricage van hoeden en petten" 1
"1276" "14 to 15" "Male" "Fabricage van hoeden en petten" 7
"1277" "16 to 17" "Male" "Fabricage van hoeden en petten" 6
"1278" "18 to 22" "Male" "Fabricage van hoeden en petten" 17
"1279" "23 to 24" "Male" "Fabricage van hoeden en petten" 3
"1280" "25 to 35" "Male" "Fabricage van hoeden en petten" 31
"1281" "36 to 50" "Male" "Fabricage van hoeden en petten" 48
"1282" "51 to 60" "Male" "Fabricage van hoeden en petten" 14
"1283" "61 to 65" "Male" "Fabricage van hoeden en petten" 3
"1284" "66 to 70" "Male" "Fabricage van hoeden en petten" 2
"1285" "Older than 70" "Male" "Fabricage van hoeden en petten" 3
"1286" "12" "Female" "Fabricage van hoeden en petten" 1
"1287" "13" "Female" "Fabricage van hoeden en petten" 6
"1288" "14 to 15" "Female" "Fabricage van hoeden en petten" 27
"1289" "16 to 17" "Female" "Fabricage van hoeden en petten" 59
"1290" "18 to 22" "Female" "Fabricage van hoeden en petten" 52
"1291" "Younger than 12" "Female" "Fabricage van hoeden en petten" 1
"1292" "23 to 24" "Female" "Fabricage van hoeden en petten" 13
"1293" "25 to 35" "Female" "Fabricage van hoeden en petten" 26
"1294" "36 to 50" "Female" "Fabricage van hoeden en petten" 9
"1295" "51 to 60" "Female" "Fabricage van hoeden en petten" 2
"1296" "36 to 50" "Male" "Fabricage van houten pennen" 1
"1297" "18 to 22" "Male" "Fabricage van houtwaren" 2
"1298" "23 to 24" "Male" "Fabricage van houtwaren" 1
"1299" "25 to 35" "Male" "Fabricage van houtwaren" 2
"1300" "36 to 50" "Male" "Fabricage van houtwaren" 6
"1301" "51 to 60" "Male" "Fabricage van houtwaren" 1
"1302" "61 to 65" "Male" "Fabricage van houtwaren" 1
"1303" "Older than 70" "Male" "Fabricage van houtwaren" 1
"1304" "36 to 50" "Female" "Fabricage van houtwaren" 1
"1305" "36 to 50" "Male" "Fabricage van hulpmiddelen voor de zuivelbereiding" 1
"1306" "12" "Male" "Fabricage van ijzer en ijzerwaren" 2
"1307" "13" "Male" "Fabricage van ijzer en ijzerwaren" 5
"1308" "14 to 15" "Male" "Fabricage van ijzer en ijzerwaren" 19
"1309" "16 to 17" "Male" "Fabricage van ijzer en ijzerwaren" 23
"1310" "18 to 22" "Male" "Fabricage van ijzer en ijzerwaren" 84
"1311" "23 to 24" "Male" "Fabricage van ijzer en ijzerwaren" 38
"1312" "25 to 35" "Male" "Fabricage van ijzer en ijzerwaren" 122
"1313" "36 to 50" "Male" "Fabricage van ijzer en ijzerwaren" 114
"1314" "51 to 60" "Male" "Fabricage van ijzer en ijzerwaren" 38
"1315" "61 to 65" "Male" "Fabricage van ijzer en ijzerwaren" 14
"1316" "66 to 70" "Male" "Fabricage van ijzer en ijzerwaren" 12
"1317" "Older than 70" "Male" "Fabricage van ijzer en ijzerwaren" 5
"1318" "36 to 50" "Male" "Fabricage van inkt" 1
"1319" "12" "Male" "Fabricage van ivoorartikelen" 1
"1320" "25 to 35" "Male" "Fabricage van ivoorartikelen" 1
"1321" "36 to 50" "Male" "Fabricage van ivoorartikelen" 1
"1322" "13" "Male" "Fabricage van jalouzien" 1
"1323" "14 to 15" "Male" "Fabricage van jalouzien" 2
"1324" "16 to 17" "Male" "Fabricage van jalouzien" 2
"1325" "18 to 22" "Male" "Fabricage van jalouzien" 9
"1326" "23 to 24" "Male" "Fabricage van jalouzien" 1
"1327" "25 to 35" "Male" "Fabricage van jalouzien" 18
"1328" "36 to 50" "Male" "Fabricage van jalouzien" 18
"1329" "51 to 60" "Male" "Fabricage van jalouzien" 8
"1330" "61 to 65" "Male" "Fabricage van jalouzien" 4
"1331" "66 to 70" "Male" "Fabricage van jalouzien" 1
"1332" "36 to 50" "Female" "Fabricage van jalouzien" 1
"1333" "51 to 60" "Female" "Fabricage van jalouzien" 1
"1334" "66 to 70" "Female" "Fabricage van jalouzien" 1
"1335" "12" "Male" "Fabricage van kaarsen" 1
"1336" "14 to 15" "Male" "Fabricage van kaarsen" 1
"1337" "16 to 17" "Male" "Fabricage van kaarsen" 3
"1338" "18 to 22" "Male" "Fabricage van kaarsen" 11
"1339" "23 to 24" "Male" "Fabricage van kaarsen" 4
"1340" "25 to 35" "Male" "Fabricage van kaarsen" 16
"1341" "36 to 50" "Male" "Fabricage van kaarsen" 28
"1342" "51 to 60" "Male" "Fabricage van kaarsen" 9
"1343" "61 to 65" "Male" "Fabricage van kaarsen" 3
"1344" "66 to 70" "Male" "Fabricage van kaarsen" 3
"1345" "Older than 70" "Male" "Fabricage van kaarsen" 1
"1346" "14 to 15" "Female" "Fabricage van kaarsen" 5
"1347" "16 to 17" "Female" "Fabricage van kaarsen" 17
"1348" "18 to 22" "Female" "Fabricage van kaarsen" 24
"1349" "23 to 24" "Female" "Fabricage van kaarsen" 8
"1350" "25 to 35" "Female" "Fabricage van kaarsen" 9
"1351" "36 to 50" "Female" "Fabricage van kaarsen" 2
"1352" "51 to 60" "Female" "Fabricage van kaarsen" 1
"1353" "66 to 70" "Female" "Fabricage van kaarsen" 1
"1354" "36 to 50" "Male" "Fabricage van kachels" 1
"1355" "Older than 70" "Male" "Fabricage van kachels" 2
"1356" "18 to 22" "Male" "Fabricage van kalk" 2
"1357" "25 to 35" "Male" "Fabricage van kalk" 4
"1358" "36 to 50" "Male" "Fabricage van kalk" 8
"1359" "51 to 60" "Male" "Fabricage van kalk" 1
"1360" "13" "Male" "Fabricage van kartonnages" 3
"1361" "14 to 15" "Male" "Fabricage van kartonnages" 9
"1362" "16 to 17" "Male" "Fabricage van kartonnages" 5
"1363" "18 to 22" "Male" "Fabricage van kartonnages" 9
"1364" "23 to 24" "Male" "Fabricage van kartonnages" 2
"1365" "25 to 35" "Male" "Fabricage van kartonnages" 15
"1366" "36 to 50" "Male" "Fabricage van kartonnages" 21
"1367" "51 to 60" "Male" "Fabricage van kartonnages" 16
"1368" "61 to 65" "Male" "Fabricage van kartonnages" 6
"1369" "66 to 70" "Male" "Fabricage van kartonnages" 3
"1370" "12" "Female" "Fabricage van kartonnages" 2
"1371" "13" "Female" "Fabricage van kartonnages" 6
"1372" "14 to 15" "Female" "Fabricage van kartonnages" 7
"1373" "16 to 17" "Female" "Fabricage van kartonnages" 17
"1374" "18 to 22" "Female" "Fabricage van kartonnages" 19
"1375" "23 to 24" "Female" "Fabricage van kartonnages" 2
"1376" "25 to 35" "Female" "Fabricage van kartonnages" 5
"1377" "36 to 50" "Female" "Fabricage van kartonnages" 2
"1378" "51 to 60" "Female" "Fabricage van kartonnages" 2
"1379" "66 to 70" "Female" "Fabricage van kartonnages" 1
"1380" "12" "Male" "Fabricage van katoen" 1
"1381" "13" "Male" "Fabricage van katoen" 1
"1382" "14 to 15" "Male" "Fabricage van katoen" 2
"1383" "16 to 17" "Male" "Fabricage van katoen" 1
"1384" "18 to 22" "Male" "Fabricage van katoen" 4
"1385" "25 to 35" "Male" "Fabricage van katoen" 2
"1386" "36 to 50" "Male" "Fabricage van katoen" 4
"1387" "51 to 60" "Male" "Fabricage van katoen" 2
"1388" "66 to 70" "Male" "Fabricage van katoen" 1
"1389" "Older than 70" "Male" "Fabricage van katoen" 1
"1390" "16 to 17" "Female" "Fabricage van katoen" 1
"1391" "18 to 22" "Female" "Fabricage van katoen" 2
"1392" "25 to 35" "Female" "Fabricage van katoen" 2
"1393" "36 to 50" "Female" "Fabricage van katoen" 2
"1394" "16 to 17" "Male" "Fabricage van klokken" 1
"1395" "18 to 22" "Male" "Fabricage van klokken" 1
"1396" "23 to 24" "Male" "Fabricage van klokken" 2
"1397" "25 to 35" "Male" "Fabricage van klokken" 3
"1398" "36 to 50" "Male" "Fabricage van klokken" 3
"1399" "51 to 60" "Male" "Fabricage van klokken" 2
"1400" "61 to 65" "Male" "Fabricage van klokken" 1
"1401" "Older than 70" "Male" "Fabricage van klokken" 2
"1402" "16 to 17" "Male" "Fabricage van knoopen" 2
"1403" "18 to 22" "Male" "Fabricage van knoopen" 1
"1404" "25 to 35" "Male" "Fabricage van knoopen" 2
"1405" "36 to 50" "Male" "Fabricage van knoopen" 1
"1406" "16 to 17" "Male" "Fabricage van koperwerk" 1
"1407" "25 to 35" "Male" "Fabricage van koperwerk" 1
"1408" "36 to 50" "Male" "Fabricage van koperwerk" 9
"1409" "51 to 60" "Male" "Fabricage van koperwerk" 1
"1410" "12" "Female" "Fabricage van kousen" 1
"1411" "14 to 15" "Female" "Fabricage van kousen" 2
"1412" "18 to 22" "Female" "Fabricage van kousen" 2
"1413" "36 to 50" "Female" "Fabricage van kousen" 1
"1414" "51 to 60" "Female" "Fabricage van kousen" 1
"1415" "61 to 65" "Female" "Fabricage van kousen" 3
"1416" "66 to 70" "Female" "Fabricage van kousen" 2
"1417" "Older than 70" "Female" "Fabricage van kousen" 1
"1418" "25 to 35" "Male" "Fabricage van krijt (incl. teekenkrijt)" 2
"1419" "36 to 50" "Male" "Fabricage van kruit (patronen)" 1
"1420" "36 to 50" "Male" "Fabricage van kunstbloemen" 1
"1421" "13" "Female" "Fabricage van kunstbloemen" 1
"1422" "16 to 17" "Female" "Fabricage van kunstbloemen" 2
"1423" "18 to 22" "Female" "Fabricage van kunstbloemen" 4
"1424" "25 to 35" "Female" "Fabricage van kunstbloemen" 4
"1425" "36 to 50" "Female" "Fabricage van kunstbloemen" 2
"1426" "51 to 60" "Female" "Fabricage van kunstbloemen" 2
"1427" "61 to 65" "Female" "Fabricage van kunstbloemen" 1
"1428" "14 to 15" "Male" "Fabricage van kunstboter" 3
"1429" "16 to 17" "Male" "Fabricage van kunstboter" 7
"1430" "18 to 22" "Male" "Fabricage van kunstboter" 14
"1431" "23 to 24" "Male" "Fabricage van kunstboter" 6
"1432" "25 to 35" "Male" "Fabricage van kunstboter" 46
"1433" "36 to 50" "Male" "Fabricage van kunstboter" 28
"1434" "51 to 60" "Male" "Fabricage van kunstboter" 9
"1435" "61 to 65" "Male" "Fabricage van kunstboter" 2
"1436" "66 to 70" "Male" "Fabricage van kunstboter" 1
"1437" "51 to 60" "Female" "Fabricage van kunstboter" 1
"1438" "23 to 24" "Male" "Fabricage van kunsthaarwerk" 1
"1439" "25 to 35" "Male" "Fabricage van kunsthaarwerk" 1
"1440" "14 to 15" "Male" "Fabricage van kunstijs" 1
"1441" "16 to 17" "Male" "Fabricage van kunstijs" 1
"1442" "25 to 35" "Male" "Fabricage van kunstijs" 5
"1443" "36 to 50" "Male" "Fabricage van kunstijs" 6
"1444" "16 to 17" "Male" "Fabricage van kunstmest" 1
"1445" "23 to 24" "Male" "Fabricage van kunstmest" 1
"1446" "51 to 60" "Male" "Fabricage van kunstmest" 1
"1447" "66 to 70" "Male" "Fabricage van kunstmest" 1
"1448" "16 to 17" "Male" "Fabricage van kunsttanden" 3
"1449" "18 to 22" "Male" "Fabricage van kunsttanden" 8
"1450" "25 to 35" "Male" "Fabricage van kunsttanden" 7
"1451" "36 to 50" "Male" "Fabricage van kunsttanden" 3
"1452" "51 to 60" "Male" "Fabricage van kunsttanden" 1
"1453" "13" "Female" "Fabricage van kunsttanden" 1
"1454" "25 to 35" "Female" "Fabricage van kunsttanden" 1
"1455" "12" "Male" "Fabricage van kurk" 4
"1456" "13" "Male" "Fabricage van kurk" 6
"1457" "14 to 15" "Male" "Fabricage van kurk" 13
"1458" "16 to 17" "Male" "Fabricage van kurk" 9
"1459" "18 to 22" "Male" "Fabricage van kurk" 27
"1460" "23 to 24" "Male" "Fabricage van kurk" 9
"1461" "25 to 35" "Male" "Fabricage van kurk" 69
"1462" "36 to 50" "Male" "Fabricage van kurk" 85
"1463" "51 to 60" "Male" "Fabricage van kurk" 13
"1464" "61 to 65" "Male" "Fabricage van kurk" 3
"1465" "66 to 70" "Male" "Fabricage van kurk" 5
"1466" "Older than 70" "Male" "Fabricage van kurk" 3
"1467" "51 to 60" "Female" "Fabricage van kurk" 1
"1468" "23 to 24" "Male" "Fabricage van lak" 1
"1469" "25 to 35" "Male" "Fabricage van lak" 2
"1470" "36 to 50" "Male" "Fabricage van lak" 6
"1471" "51 to 60" "Male" "Fabricage van lak" 1
"1472" "61 to 65" "Male" "Fabricage van lak" 1
"1473" "36 to 50" "Male" "Fabricage van laken" 1
"1474" "61 to 65" "Male" "Fabricage van laken" 1
"1475" "16 to 17" "Male" "Fabricage van lampen" 1
"1476" "18 to 22" "Male" "Fabricage van lampen" 1
"1477" "23 to 24" "Male" "Fabricage van lampen" 1
"1478" "25 to 35" "Male" "Fabricage van lampen" 5
"1479" "36 to 50" "Male" "Fabricage van lampen" 5
"1480" "51 to 60" "Male" "Fabricage van lampen" 4
"1481" "61 to 65" "Male" "Fabricage van lampen" 2
"1482" "13" "Male" "Fabricage van lederwaren" 1
"1483" "16 to 17" "Male" "Fabricage van lederwaren" 1
"1484" "25 to 35" "Male" "Fabricage van lederwaren" 4
"1485" "36 to 50" "Male" "Fabricage van lederwaren" 5
"1486" "51 to 60" "Male" "Fabricage van lederwaren" 4
"1487" "25 to 35" "Male" "Fabricage van leesten" 1
"1488" "36 to 50" "Male" "Fabricage van leesten" 2
"1489" "18 to 22" "Male" "Fabricage van levertraan" 1
"1490" "16 to 17" "Male" "Fabricage van lijm" 1
"1491" "13" "Male" "Fabricage van lijsten" 4
"1492" "14 to 15" "Male" "Fabricage van lijsten" 13
"1493" "16 to 17" "Male" "Fabricage van lijsten" 16
"1494" "18 to 22" "Male" "Fabricage van lijsten" 26
